system,code,warehouse_meaning,warehouse_row_count,warehouse_patient_count,atom_count,direct_atom_count,atom_ids,atom_names,phenotypes,mapping_roles,audit_flag
ICD10,M65.332,"Trigger finger, left middle finger",2445,381,3,3,biceps_rupture | rotator_cuff | trigger_finger,"Rotator cuff tear / repair | Spontaneous distal biceps tendon rupture (""Popeye sign"") | Trigger finger / stenosing tenosynovitis",AL | ATTRV | ATTRWT | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,M65.311,"Trigger thumb, right thumb",2076,377,3,3,biceps_rupture | rotator_cuff | trigger_finger,"Rotator cuff tear / repair | Spontaneous distal biceps tendon rupture (""Popeye sign"") | Trigger finger / stenosing tenosynovitis",AL | ATTRV | ATTRWT | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I42.0,Dilated cardiomyopathy,2926,375,2,2,thick_walls | wt09_competing_hf_cause,Competing cause of heart failure | Unexplained left-ventricular wall thickness / LVH,AL | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,M65.9,"Synovitis and tenosynovitis, unspecified",4431,371,3,3,biceps_rupture | rotator_cuff | trigger_finger,"Rotator cuff tear / repair | Spontaneous distal biceps tendon rupture (""Popeye sign"") | Trigger finger / stenosing tenosynovitis",AL | ATTRV | ATTRWT | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,R68.81,Early satiety,1161,349,5,5,delayed_gastric_emptying | early_satiety | gastroparesis | nausea | vomiting,Gastroparesis / delayed gastric emptying | delayed gastric emptying | early satiety | nausea | vomiting,AL | ATTRV | AL | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,H40.9,Unspecified glaucoma,1763,347,2,2,dry_eye | glaucoma,dry eye | glaucoma,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.529,Non-pressure chronic ulcer of other part of left foot with unspecified severity,4250,339,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.521,Non-pressure chronic ulcer of other part of left foot limited to breakdown of skin,2964,336,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,M75.102,"Unspecified rotator cuff tear or rupture of left shoulder, not specified as traumatic",2434,326,3,3,biceps_rupture | rotator_cuff | trigger_finger,"Rotator cuff tear / repair | Spontaneous distal biceps tendon rupture (""Popeye sign"") | Trigger finger / stenosing tenosynovitis",AL | ATTRV | ATTRWT | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,M65.341,"Trigger finger, right ring finger",1998,323,3,3,biceps_rupture | rotator_cuff | trigger_finger,"Rotator cuff tear / repair | Spontaneous distal biceps tendon rupture (""Popeye sign"") | Trigger finger / stenosing tenosynovitis",AL | ATTRV | ATTRWT | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
