code,meaning,warehouse_row_count,warehouse_patient_count,candidate_origins,amyloid_tier,amyloid_signal_categories,review_bucket,suggested_atom_ids,suggested_atom_names,suggestion_scores,audit_flags
N52.1,Erectile dysfunction due to diseases classified elsewhere,557,145,CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,erectile_dysfunction,erectile dysfunction,"erectile_dysfunction:9.0(phrase;same_icd_category;tokens=dysfunction,erectile)",
R13.13,"Dysphagia, pharyngeal phase",536,143,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,dysphagia,dysphagia,dysphagia:3.0(same_icd_category;tokens=dysphagia),
E13.621,Other specified diabetes mellitus with foot ulcer,1673,142,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,diabetes,diabetes,"diabetes:7.0(phrase;tokens=diabete,mellitu)",
M75.51,Bursitis of right shoulder,886,142,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,rotator_cuff | shoulder_disorder,Other shoulder disorder | Rotator cuff tear / repair,rotator_cuff:3.0(same_icd_category;tokens=shoulder) | shoulder_disorder:3.0(same_icd_category;tokens=shoulder),
N39.498,Other specified urinary incontinence,793,141,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,urinary_incontinence,urinary incontinence,"urinary_incontinence:7.0(phrase;tokens=incontinence,urinary)",
R10.819,"Abdominal tenderness, unspecified site",708,141,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,abdominal_pain,Unexplained abdominal pain,abdominal_pain:3.0(same_icd_category;tokens=abdominal),
R39.81,Functional urinary incontinence,561,141,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,urinary_incontinence,urinary incontinence,"urinary_incontinence:7.0(phrase;tokens=incontinence,urinary)",
S06.0X1A,"Concussion with loss of consciousness of 30 minutes or less, initial encounter",561,141,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)",
S46.819A,"Strain of other muscles, fascia and tendons at shoulder and upper arm level, unspecified arm, initial encounter",746,140,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,biceps_rupture,"Spontaneous distal biceps tendon rupture (""Popeye sign"")",biceps_rupture:3.0(same_icd_category;tokens=tendon),
Z68.25,"Body mass index [BMI] 25.0-25.9, adult",382,140,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,declining_bmi,Declining BMI / modified BMI trajectory,"declining_bmi:8.0(phrase;tokens=bmi,body,index,mass)",
Z95.810,Presence of automatic (implantable) cardiac defibrillator,554,140,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,arrhythmia | pacemaker_presence,arrhythmia | pacemaker presence,arrhythmia:3.0(same_icd_category;tokens=cardiac) | pacemaker_presence:3.0(same_icd_category;tokens=cardiac),
Z68.26,"Body mass index [BMI] 26.0-26.9, adult",411,139,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,declining_bmi,Declining BMI / modified BMI trajectory,"declining_bmi:8.0(phrase;tokens=bmi,body,index,mass)",
H43.393,"Other vitreous opacities, bilateral",546,136,CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,vitreous_opacity,vitreous opacity,"vitreous_opacity:9.0(phrase;same_icd_category;tokens=opacity,vitreou)",
S06.4XAA,"Epidural hemorrhage with loss of consciousness status unknown, initial encounter",1841,135,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)",
H90.A11,"Conductive hearing loss, unilateral, right ear with restricted hearing on the contralateral side",712,133,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,age_excessive_snhl,Bilateral sensorineural hearing loss disproportionate to age,"age_excessive_snhl:4.0(same_icd_category;tokens=hearing,loss)",
I47.2,Ventricular tachycardia,1069,133,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,arrhythmia,arrhythmia,"arrhythmia:7.0(phrase;tokens=tachycardia,ventricular)",
S06.9XAA,"Unspecified intracranial injury with loss of consciousness status unknown, initial encounter",1622,132,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)",
K31.9,"Disease of stomach and duodenum, unspecified",548,131,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,delayed_gastric_emptying | gastroparesis,Gastroparesis / delayed gastric emptying | delayed gastric emptying,delayed_gastric_emptying:3.0(same_icd_category;tokens=stomach) | gastroparesis:3.0(same_icd_category;tokens=stomach),
R10.23,Pelvic and perineal pain bilateral,542,131,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,abdominal_pain,Unexplained abdominal pain,abdominal_pain:3.0(same_icd_category;tokens=pain),
E08.00,Diabetes mellitus due to underlying condition with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),492,125,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,diabetes,diabetes,"diabetes:7.0(phrase;tokens=diabete,mellitu)",
R10.21,Pelvic and perineal pain right side,445,125,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,abdominal_pain,Unexplained abdominal pain,abdominal_pain:3.0(same_icd_category;tokens=pain),
L97.919,Non-pressure chronic ulcer of unspecified part of right lower leg with unspecified severity,1514,124,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,plantar_ulcer | trophic_change,plantar ulcer | trophic change,plantar_ulcer:3.0(same_icd_category;tokens=ulcer) | trophic_change:3.0(same_icd_category;tokens=lower),
I95.0,Idiopathic hypotension,1166,122,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,hf_medication_intolerance | hypotension | orthostatic_intolerance,Hypotension | hf medication intolerance | orthostatic intolerance,hf_medication_intolerance:3.0(same_icd_category;tokens=hypotension) | hypotension:3.0(same_icd_category;tokens=hypotension) | orthostatic_intolerance:3.0(same_icd_category;tokens=hypotension),
H04.129,Dry eye syndrome of unspecified lacrimal gland,497,118,CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,dry_eye,dry eye,"dry_eye:9.0(phrase;same_icd_category;tokens=dry,eye)",
L97.929,Non-pressure chronic ulcer of unspecified part of left lower leg with unspecified severity,1407,118,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,plantar_ulcer | trophic_change,plantar ulcer | trophic change,plantar_ulcer:3.0(same_icd_category;tokens=ulcer) | trophic_change:3.0(same_icd_category;tokens=lower),
